05-31-2024 15:14:23 RAM 3408/7451MB (lfb 310x4MB) SWAP 22/3725MB (cached 0MB) CPU [15%@960,22%@960,56%@960,10%@960,off,off] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.937C SOC2@51.468C SOC0@51.562C CV1@-256C GPU@51.875C tj@52.937C SOC1@52.187C CV2@-256C VDD_IN 4574mW/4313mW VDD_CPU_GPU_CV 642mW/778mW VDD_SOC 1444mW/1219mW
05-31-2024 15:14:24 RAM 3755/7451MB (lfb 249x4MB) SWAP 22/3725MB (cached 0MB) CPU [14%@960,12%@960,12%@960,65%@960,off,off] EMC_FREQ 12%@665 GR3D_FREQ 38%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.031C SOC2@51.375C SOC0@51.625C CV1@-256C GPU@51.687C tj@53.031C SOC1@52.187C CV2@-256C VDD_IN 4300mW/4312mW VDD_CPU_GPU_CV 682mW/774mW VDD_SOC 1245mW/1220mW
05-31-2024 15:14:25 RAM 3942/7451MB (lfb 195x4MB) SWAP 22/3725MB (cached 0MB) CPU [15%@960,9%@960,19%@960,40%@960,off,off] EMC_FREQ 11%@665 GR3D_FREQ 4%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.875C SOC2@51.312C SOC0@51.406C CV1@-256C GPU@51.75C tj@52.875C SOC1@52.125C CV2@-256C VDD_IN 4260mW/4310mW VDD_CPU_GPU_CV 642mW/769mW VDD_SOC 1205mW/1219mW
05-31-2024 15:14:26 RAM 4459/7451MB (lfb 156x4MB) SWAP 22/3725MB (cached 0MB) CPU [13%@960,16%@960,40%@960,50%@960,off,off] EMC_FREQ 4%@2133 GR3D_FREQ 19%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.906C SOC2@51.5C SOC0@51.5C CV1@-256C GPU@51.843C tj@52.906C SOC1@52.093C CV2@-256C VDD_IN 4694mW/4325mW VDD_CPU_GPU_CV 762mW/769mW VDD_SOC 1444mW/1228mW
05-31-2024 15:14:27 RAM 4917/7451MB (lfb 103x4MB) SWAP 22/3725MB (cached 0MB) CPU [13%@960,27%@960,39%@960,42%@960,off,off] EMC_FREQ 4%@2133 GR3D_FREQ 30%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.125C SOC2@51.468C SOC0@51.406C CV1@-256C GPU@51.656C tj@53.125C SOC1@52.093C CV2@-256C VDD_IN 4735mW/4340mW VDD_CPU_GPU_CV 802mW/770mW VDD_SOC 1484mW/1237mW
05-31-2024 15:14:28 RAM 5119/7451MB (lfb 64x4MB) SWAP 22/3725MB (cached 0MB) CPU [19%@960,20%@960,31%@960,26%@960,off,off] EMC_FREQ 4%@2133 GR3D_FREQ 37%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.031C SOC2@51.437C SOC0@51.281C CV1@-256C GPU@51.687C tj@53.031C SOC1@52.218C CV2@-256C VDD_IN 4735mW/4354mW VDD_CPU_GPU_CV 802mW/771mW VDD_SOC 1484mW/1246mW
05-31-2024 15:14:29 RAM 5405/7451MB (lfb 6x4MB) SWAP 39/3725MB (cached 0MB) CPU [13%@960,23%@960,21%@960,50%@960,off,off] EMC_FREQ 4%@2133 GR3D_FREQ 48%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.968C SOC2@51.343C SOC0@51.5C CV1@-256C GPU@52.156C tj@52.968C SOC1@52.125C CV2@-256C VDD_IN 4775mW/4369mW VDD_CPU_GPU_CV 842mW/774mW VDD_SOC 1444mW/1253mW
05-31-2024 15:14:30 RAM 5445/7451MB (lfb 4x4MB) SWAP 67/3725MB (cached 0MB) CPU [54%@960,12%@960,40%@960,32%@960,off,off] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.843C SOC2@51.375C SOC0@51.375C CV1@-256C GPU@51.656C tj@52.843C SOC1@52.125C CV2@-256C VDD_IN 4735mW/4381mW VDD_CPU_GPU_CV 722mW/772mW VDD_SOC 1484mW/1261mW
05-31-2024 15:14:31 RAM 5499/7451MB (lfb 4x4MB) SWAP 67/3725MB (cached 0MB) CPU [70%@874,11%@729,12%@729,8%@729,off,off] EMC_FREQ 6%@2133 GR3D_FREQ 98%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.156C SOC2@51.531C SOC0@51.312C CV1@-256C GPU@51.937C tj@53.156C SOC1@52.093C CV2@-256C VDD_IN 5457mW/4415mW VDD_CPU_GPU_CV 1201mW/786mW VDD_SOC 1605mW/1272mW
05-31-2024 15:14:32 RAM 5499/7451MB (lfb 4x4MB) SWAP 68/3725MB (cached 0MB) CPU [26%@729,17%@729,37%@729,16%@729,off,off] EMC_FREQ 11%@2133 GR3D_FREQ 98%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.031C SOC2@51.468C SOC0@51.343C CV1@-256C GPU@52.093C tj@53.031C SOC1@52.218C CV2@-256C VDD_IN 6049mW/4467mW VDD_CPU_GPU_CV 1440mW/806mW VDD_SOC 1722mW/1286mW
