05-31-2024 15:34:53 RAM 5555/7451MB (lfb 4x2MB) SWAP 125/3725MB (cached 0MB) CPU [25%@729,16%@839,12%@729,9%@729,off,off] EMC_FREQ 12%@2133 GR3D_FREQ 61%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.093C SOC2@51.437C SOC0@51.187C CV1@-256C GPU@51.843C tj@53.093C SOC1@51.968C CV2@-256C VDD_IN 6249mW/4692mW VDD_CPU_GPU_CV 1640mW/1002mW VDD_SOC 1722mW/1306mW
05-31-2024 15:34:54 RAM 5555/7451MB (lfb 4x2MB) SWAP 125/3725MB (cached 0MB) CPU [20%@729,16%@729,12%@729,15%@729,off,off] EMC_FREQ 14%@2133 GR3D_FREQ 91%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.031C SOC2@51.468C SOC0@51.281C CV1@-256C GPU@51.906C tj@53.031C SOC1@51.968C CV2@-256C VDD_IN 6410mW/4764mW VDD_CPU_GPU_CV 1720mW/1032mW VDD_SOC 1762mW/1325mW
05-31-2024 15:34:55 RAM 5555/7451MB (lfb 4x2MB) SWAP 125/3725MB (cached 0MB) CPU [22%@729,10%@729,11%@729,12%@729,off,off] EMC_FREQ 15%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.937C SOC2@51.468C SOC0@51.531C CV1@-256C GPU@52.406C tj@52.937C SOC1@52.062C CV2@-256C VDD_IN 6450mW/4831mW VDD_CPU_GPU_CV 1760mW/1061mW VDD_SOC 1762mW/1343mW
05-31-2024 15:34:56 RAM 5555/7451MB (lfb 4x2MB) SWAP 125/3725MB (cached 0MB) CPU [26%@729,14%@729,12%@729,12%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.812C SOC2@51.468C SOC0@51.437C CV1@-256C GPU@52.437C tj@52.812C SOC1@52.125C CV2@-256C VDD_IN 6450mW/4894mW VDD_CPU_GPU_CV 1720mW/1086mW VDD_SOC 1762mW/1359mW
05-31-2024 15:34:57 RAM 5555/7451MB (lfb 4x2MB) SWAP 125/3725MB (cached 0MB) CPU [21%@729,15%@729,26%@729,10%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.062C SOC2@51.562C SOC0@51.375C CV1@-256C GPU@52.093C tj@53.062C SOC1@52.031C CV2@-256C VDD_IN 6410mW/4950mW VDD_CPU_GPU_CV 1680mW/1108mW VDD_SOC 1762mW/1374mW
05-31-2024 15:34:58 RAM 5555/7451MB (lfb 4x2MB) SWAP 125/3725MB (cached 0MB) CPU [20%@960,15%@729,14%@729,10%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.031C SOC2@51.562C SOC0@51.375C CV1@-256C GPU@52.125C tj@53.031C SOC1@52C CV2@-256C VDD_IN 6410mW/5002mW VDD_CPU_GPU_CV 1680mW/1128mW VDD_SOC 1762mW/1387mW
05-31-2024 15:34:59 RAM 5557/7451MB (lfb 3x2MB) SWAP 125/3725MB (cached 0MB) CPU [25%@871,15%@729,11%@729,9%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.031C SOC2@51.593C SOC0@51.281C CV1@-256C GPU@52.062C tj@53.031C SOC1@51.968C CV2@-256C VDD_IN 6330mW/5048mW VDD_CPU_GPU_CV 1640mW/1146mW VDD_SOC 1762mW/1400mW
05-31-2024 15:35:00 RAM 5557/7451MB (lfb 3x2MB) SWAP 125/3725MB (cached 0MB) CPU [23%@883,16%@960,16%@960,9%@960,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 61%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.031C SOC2@51.468C SOC0@51.562C CV1@-256C GPU@52.281C tj@53.093C SOC1@52.156C CV2@-256C VDD_IN 6330mW/5090mW VDD_CPU_GPU_CV 1640mW/1162mW VDD_SOC 1762mW/1412mW
05-31-2024 15:35:01 RAM 5557/7451MB (lfb 3x2MB) SWAP 125/3725MB (cached 0MB) CPU [21%@729,11%@729,15%@729,13%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 97%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.031C SOC2@51.625C SOC0@51.5C CV1@-256C GPU@52.406C tj@53.031C SOC1@52.093C CV2@-256C VDD_IN 6290mW/5129mW VDD_CPU_GPU_CV 1640mW/1178mW VDD_SOC 1762mW/1424mW
05-31-2024 15:35:02 RAM 5557/7451MB (lfb 3x2MB) SWAP 125/3725MB (cached 0MB) CPU [31%@960,12%@857,13%@729,15%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.031C SOC2@51.593C SOC0@51.531C CV1@-256C GPU@52.156C tj@53.031C SOC1@52.125C CV2@-256C VDD_IN 6370mW/5168mW VDD_CPU_GPU_CV 1680mW/1194mW VDD_SOC 1762mW/1434mW
