01-01-1970 02:27:01 RAM 5081/7451MB (lfb 16x4MB) SWAP 1/3725MB (cached 0MB) CPU [41%@806,25%@806,23%@806,22%@729,off,off] EMC_FREQ 11%@2133 GR3D_FREQ 98%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.875C SOC2@50.25C SOC0@50.125C CV1@-256C GPU@50.718C tj@51.875C SOC1@50.906C CV2@-256C VDD_IN 5769mW/4558mW VDD_CPU_GPU_CV 1282mW/972mW VDD_SOC 1682mW/1257mW
01-01-1970 02:27:02 RAM 5081/7451MB (lfb 16x4MB) SWAP 1/3725MB (cached 0MB) CPU [44%@729,21%@729,25%@729,24%@806,off,off] EMC_FREQ 12%@2133 GR3D_FREQ 96%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.062C SOC2@50.25C SOC0@50.125C CV1@-256C GPU@51C tj@52.062C SOC1@50.906C CV2@-256C VDD_IN 5849mW/4612mW VDD_CPU_GPU_CV 1320mW/986mW VDD_SOC 1722mW/1277mW
01-01-1970 02:27:03 RAM 5082/7451MB (lfb 16x4MB) SWAP 1/3725MB (cached 0MB) CPU [41%@729,28%@729,34%@729,26%@729,off,off] EMC_FREQ 13%@2133 GR3D_FREQ 95%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52C SOC2@50.281C SOC0@50.093C CV1@-256C GPU@50.687C tj@52C SOC1@50.968C CV2@-256C VDD_IN 5889mW/4663mW VDD_CPU_GPU_CV 1360mW/1001mW VDD_SOC 1722mW/1294mW
01-01-1970 02:27:04 RAM 5082/7451MB (lfb 16x4MB) SWAP 1/3725MB (cached 0MB) CPU [46%@960,29%@883,20%@883,21%@883,off,off] EMC_FREQ 13%@2133 GR3D_FREQ 50%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.062C SOC2@50.25C SOC0@50.093C CV1@-256C GPU@50.718C tj@52.062C SOC1@50.937C CV2@-256C VDD_IN 5849mW/4708mW VDD_CPU_GPU_CV 1320mW/1014mW VDD_SOC 1722mW/1311mW
01-01-1970 02:27:05 RAM 5082/7451MB (lfb 16x4MB) SWAP 1/3725MB (cached 0MB) CPU [38%@806,27%@960,28%@960,26%@960,off,off] EMC_FREQ 13%@2133 GR3D_FREQ 69%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.031C SOC2@50.343C SOC0@50.093C CV1@-256C GPU@50.875C tj@52.031C SOC1@51.125C CV2@-256C VDD_IN 5809mW/4749mW VDD_CPU_GPU_CV 1322mW/1025mW VDD_SOC 1682mW/1324mW
01-01-1970 02:27:06 RAM 5082/7451MB (lfb 16x4MB) SWAP 1/3725MB (cached 0MB) CPU [40%@848,31%@729,26%@729,29%@729,off,off] EMC_FREQ 14%@2133 GR3D_FREQ 84%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.937C SOC2@50.343C SOC0@50.281C CV1@-256C GPU@50.687C tj@51.937C SOC1@51.031C CV2@-256C VDD_IN 5849mW/4788mW VDD_CPU_GPU_CV 1320mW/1036mW VDD_SOC 1722mW/1339mW
01-01-1970 02:27:07 RAM 5082/7451MB (lfb 16x4MB) SWAP 1/3725MB (cached 0MB) CPU [44%@960,20%@960,23%@960,28%@960,off,off] EMC_FREQ 13%@2133 GR3D_FREQ 29%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.875C SOC2@50.25C SOC0@50.25C CV1@-256C GPU@50.718C tj@51.875C SOC1@51C CV2@-256C VDD_IN 5809mW/4824mW VDD_CPU_GPU_CV 1282mW/1044mW VDD_SOC 1682mW/1350mW
01-01-1970 02:27:08 RAM 5082/7451MB (lfb 16x4MB) SWAP 1/3725MB (cached 0MB) CPU [39%@960,25%@883,25%@883,34%@883,off,off] EMC_FREQ 13%@2133 GR3D_FREQ 59%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.937C SOC2@50.312C SOC0@50.156C CV1@-256C GPU@50.812C tj@51.937C SOC1@51C CV2@-256C VDD_IN 5769mW/4855mW VDD_CPU_GPU_CV 1282mW/1052mW VDD_SOC 1682mW/1362mW
01-01-1970 02:27:09 RAM 5082/7451MB (lfb 16x4MB) SWAP 1/3725MB (cached 0MB) CPU [38%@729,26%@729,20%@729,26%@729,off,off] EMC_FREQ 13%@2133 GR3D_FREQ 32%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.937C SOC2@50.281C SOC0@50.125C CV1@-256C GPU@50.656C tj@51.937C SOC1@51.031C CV2@-256C VDD_IN 5769mW/4885mW VDD_CPU_GPU_CV 1282mW/1059mW VDD_SOC 1682mW/1372mW
01-01-1970 02:27:10 RAM 5082/7451MB (lfb 16x4MB) SWAP 1/3725MB (cached 0MB) CPU [42%@960,21%@960,25%@960,37%@960,off,off] EMC_FREQ 13%@2133 GR3D_FREQ 48%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.218C SOC2@50.281C SOC0@50.062C CV1@-256C GPU@50.625C tj@52.218C SOC1@50.937C CV2@-256C VDD_IN 5809mW/4913mW VDD_CPU_GPU_CV 1282mW/1066mW VDD_SOC 1682mW/1382mW
