05-31-2024 13:09:04 RAM 4204/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [34%@1113,22%@1113,18%@1113,17%@1113,13%@729,17%@729] EMC_FREQ 26%@2133 GR3D_FREQ 98%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.187C SOC2@56.093C SOC0@55.656C CV1@-256C GPU@57.156C tj@57.187C SOC1@55.843C CV2@-256C VDD_IN 7787mW/7531mW VDD_CPU_GPU_CV 2631mW/2841mW VDD_SOC 1916mW/1711mW
05-31-2024 13:09:05 RAM 4204/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [27%@1497,26%@1510,20%@1510,22%@1510,15%@729,12%@729] EMC_FREQ 26%@2133 GR3D_FREQ 51%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.218C SOC2@56C SOC0@55.687C CV1@-256C GPU@56.781C tj@57.375C SOC1@55.875C CV2@-256C VDD_IN 7587mW/7533mW VDD_CPU_GPU_CV 2511mW/2827mW VDD_SOC 1876mW/1719mW
05-31-2024 13:09:06 RAM 4204/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [32%@1113,22%@1113,28%@1113,21%@1247,11%@729,14%@729] EMC_FREQ 25%@2133 GR3D_FREQ 47%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.218C SOC2@56.062C SOC0@55.593C CV1@-256C GPU@57.125C tj@57.218C SOC1@55.906C CV2@-256C VDD_IN 7587mW/7535mW VDD_CPU_GPU_CV 2511mW/2814mW VDD_SOC 1876mW/1725mW
05-31-2024 13:09:07 RAM 4204/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [27%@1510,20%@1497,24%@1497,30%@1497,9%@729,8%@729] EMC_FREQ 26%@2133 GR3D_FREQ 97%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.25C SOC2@56.062C SOC0@55.593C CV1@-256C GPU@57C tj@57.25C SOC1@56C CV2@-256C VDD_IN 7747mW/7544mW VDD_CPU_GPU_CV 2631mW/2806mW VDD_SOC 1876mW/1731mW
05-31-2024 13:09:08 RAM 4204/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [26%@1510,28%@1267,25%@1267,20%@1267,20%@729,6%@729] EMC_FREQ 26%@2133 GR3D_FREQ 38%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.062C SOC2@56.062C SOC0@55.843C CV1@-256C GPU@56.906C tj@57.187C SOC1@56C CV2@-256C VDD_IN 7667mW/7549mW VDD_CPU_GPU_CV 2551mW/2796mW VDD_SOC 1876mW/1737mW
05-31-2024 13:09:09 RAM 4204/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [28%@1510,25%@1510,29%@1510,26%@1510,9%@729,10%@729] EMC_FREQ 26%@2133 GR3D_FREQ 45%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.281C SOC2@56.125C SOC0@55.781C CV1@-256C GPU@57.031C tj@57.281C SOC1@55.968C CV2@-256C VDD_IN 7827mW/7559mW VDD_CPU_GPU_CV 2631mW/2790mW VDD_SOC 1916mW/1743mW
05-31-2024 13:09:10 RAM 4204/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [22%@1321,20%@1292,24%@1510,21%@1113,12%@729,21%@729] EMC_FREQ 26%@2133 GR3D_FREQ 72%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57C SOC2@56.062C SOC0@55.906C CV1@-256C GPU@57.187C tj@57.218C SOC1@56C CV2@-256C VDD_IN 7707mW/7564mW VDD_CPU_GPU_CV 2551mW/2782mW VDD_SOC 1876mW/1748mW
05-31-2024 13:09:11 RAM 4204/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [34%@1510,17%@1510,29%@1510,16%@1510,9%@729,7%@729] EMC_FREQ 26%@2133 GR3D_FREQ 92%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.187C SOC2@56.062C SOC0@55.843C CV1@-256C GPU@57.062C tj@57.187C SOC1@55.968C CV2@-256C VDD_IN 7747mW/7570mW VDD_CPU_GPU_CV 2631mW/2777mW VDD_SOC 1876mW/1752mW
05-31-2024 13:09:13 RAM 4204/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [24%@1504,23%@883,31%@883,20%@883,20%@1004,9%@1510] EMC_FREQ 26%@2133 GR3D_FREQ 97%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.093C SOC2@55.968C SOC0@55.875C CV1@-256C GPU@56.843C tj@57.093C SOC1@55.906C CV2@-256C VDD_IN 7707mW/7575mW VDD_CPU_GPU_CV 2551mW/2769mW VDD_SOC 1876mW/1757mW
05-31-2024 13:09:14 RAM 4204/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [32%@1510,23%@1510,21%@1510,18%@1510,18%@729,24%@729] EMC_FREQ 26%@2133 GR3D_FREQ 21%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.062C SOC2@56.031C SOC0@55.781C CV1@-256C GPU@56.937C tj@57.156C SOC1@55.906C CV2@-256C VDD_IN 7627mW/7577mW VDD_CPU_GPU_CV 2551mW/2762mW VDD_SOC 1876mW/1760mW
