05-28-2024 14:09:04 RAM 4403/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [36%@883,28%@883,27%@883,30%@883,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 98%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.218C SOC2@51.875C SOC0@51.718C CV1@-256C GPU@52.375C tj@53.218C SOC1@52.218C CV2@-256C VDD_IN 6249mW/5420mW VDD_CPU_GPU_CV 1560mW/1306mW VDD_SOC 1762mW/1492mW
05-28-2024 14:09:05 RAM 4405/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [39%@806,28%@729,33%@729,30%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 38%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.312C SOC2@52C SOC0@51.687C CV1@-256C GPU@52.531C tj@53.312C SOC1@52.25C CV2@-256C VDD_IN 6249mW/5452mW VDD_CPU_GPU_CV 1560mW/1316mW VDD_SOC 1762mW/1502mW
05-28-2024 14:09:06 RAM 4405/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [49%@729,29%@729,27%@729,23%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 90%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.218C SOC2@51.843C SOC0@51.781C CV1@-256C GPU@52.687C tj@53.218C SOC1@52.343C CV2@-256C VDD_IN 6330mW/5484mW VDD_CPU_GPU_CV 1560mW/1325mW VDD_SOC 1762mW/1512mW
05-28-2024 14:09:07 RAM 4405/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [35%@729,30%@729,28%@729,31%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.25C SOC2@51.968C SOC0@51.906C CV1@-256C GPU@52.406C tj@53.25C SOC1@52.343C CV2@-256C VDD_IN 6290mW/5513mW VDD_CPU_GPU_CV 1520mW/1332mW VDD_SOC 1762mW/1521mW
05-28-2024 14:09:08 RAM 4405/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [35%@883,33%@806,28%@806,28%@806,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 47%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.437C SOC2@51.843C SOC0@51.718C CV1@-256C GPU@52.343C tj@53.437C SOC1@52.375C CV2@-256C VDD_IN 6209mW/5537mW VDD_CPU_GPU_CV 1520mW/1338mW VDD_SOC 1762mW/1529mW
05-28-2024 14:09:09 RAM 4405/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [39%@960,31%@960,30%@960,24%@960,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 84%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.406C SOC2@51.906C SOC0@51.781C CV1@-256C GPU@52.562C tj@53.406C SOC1@52.375C CV2@-256C VDD_IN 6290mW/5562mW VDD_CPU_GPU_CV 1560mW/1346mW VDD_SOC 1762mW/1537mW
05-28-2024 14:09:10 RAM 4405/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [43%@729,25%@729,36%@729,25%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 97%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.531C SOC2@51.875C SOC0@51.875C CV1@-256C GPU@52.375C tj@53.531C SOC1@52.312C CV2@-256C VDD_IN 6290mW/5585mW VDD_CPU_GPU_CV 1560mW/1353mW VDD_SOC 1762mW/1544mW
05-28-2024 14:09:11 RAM 4405/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [42%@960,37%@729,27%@729,30%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 98%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.375C SOC2@51.968C SOC0@51.843C CV1@-256C GPU@52.531C tj@53.375C SOC1@52.343C CV2@-256C VDD_IN 6290mW/5607mW VDD_CPU_GPU_CV 1560mW/1359mW VDD_SOC 1762mW/1551mW
05-28-2024 14:09:12 RAM 4405/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [38%@960,32%@960,28%@960,26%@960,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 33%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.406C SOC2@51.968C SOC0@51.687C CV1@-256C GPU@52.468C tj@53.406C SOC1@52.312C CV2@-256C VDD_IN 6249mW/5627mW VDD_CPU_GPU_CV 1520mW/1364mW VDD_SOC 1762mW/1557mW
05-28-2024 14:09:13 RAM 4405/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [39%@960,25%@729,32%@729,30%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 69%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.281C SOC2@51.875C SOC0@51.687C CV1@-256C GPU@52.781C tj@53.281C SOC1@52.5C CV2@-256C VDD_IN 6290mW/5646mW VDD_CPU_GPU_CV 1560mW/1370mW VDD_SOC 1762mW/1563mW
