01-01-1970 01:55:52 RAM 5595/7451MB (lfb 30x1MB) SWAP 15/3725MB (cached 0MB) CPU [26%@729,17%@1036,20%@1036,19%@1036,8%@729,6%@729] EMC_FREQ 26%@2133 GR3D_FREQ 33%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.187C SOC2@53.937C SOC0@53.5C CV1@-256C GPU@54.781C tj@55.187C SOC1@53.718C CV2@-256C VDD_IN 8067mW/8177mW VDD_CPU_GPU_CV 2950mW/3019mW VDD_SOC 1876mW/1910mW
01-01-1970 01:55:53 RAM 5595/7451MB (lfb 30x1MB) SWAP 15/3725MB (cached 0MB) CPU [27%@729,15%@1510,16%@1510,17%@1510,7%@729,20%@729] EMC_FREQ 26%@2133 GR3D_FREQ 30%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.062C SOC2@54C SOC0@53.593C CV1@-256C GPU@54.937C tj@55.062C SOC1@53.687C CV2@-256C VDD_IN 8027mW/8171mW VDD_CPU_GPU_CV 2950mW/3016mW VDD_SOC 1916mW/1911mW
01-01-1970 01:55:54 RAM 5595/7451MB (lfb 30x1MB) SWAP 15/3725MB (cached 0MB) CPU [22%@729,15%@729,14%@729,12%@729,15%@729,15%@729] EMC_FREQ 26%@2133 GR3D_FREQ 97%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.218C SOC2@53.843C SOC0@53.468C CV1@-256C GPU@54.656C tj@55.218C SOC1@53.812C CV2@-256C VDD_IN 7987mW/8164mW VDD_CPU_GPU_CV 2910mW/3012mW VDD_SOC 1876mW/1909mW
01-01-1970 01:55:55 RAM 5595/7451MB (lfb 30x1MB) SWAP 15/3725MB (cached 0MB) CPU [25%@1510,14%@806,13%@806,12%@806,15%@729,9%@729] EMC_FREQ 26%@2133 GR3D_FREQ 55%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55C SOC2@54C SOC0@53.531C CV1@-256C GPU@55.031C tj@55.031C SOC1@53.937C CV2@-256C VDD_IN 8067mW/8160mW VDD_CPU_GPU_CV 2950mW/3010mW VDD_SOC 1916mW/1909mW
01-01-1970 01:55:56 RAM 5595/7451MB (lfb 30x1MB) SWAP 15/3725MB (cached 0MB) CPU [30%@1011,19%@729,15%@729,11%@729,6%@729,7%@729] EMC_FREQ 26%@2133 GR3D_FREQ 98%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.062C SOC2@53.937C SOC0@53.593C CV1@-256C GPU@55.562C tj@55.562C SOC1@53.812C CV2@-256C VDD_IN 8226mW/8162mW VDD_CPU_GPU_CV 3070mW/3012mW VDD_SOC 1916mW/1910mW
01-01-1970 01:55:57 RAM 5595/7451MB (lfb 30x1MB) SWAP 15/3725MB (cached 0MB) CPU [30%@729,21%@954,12%@1006,12%@729,7%@729,12%@729] EMC_FREQ 27%@2133 GR3D_FREQ 85%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.968C SOC2@53.937C SOC0@53.625C CV1@-256C GPU@55.281C tj@55.281C SOC1@53.812C CV2@-256C VDD_IN 8146mW/8162mW VDD_CPU_GPU_CV 2990mW/3011mW VDD_SOC 1916mW/1910mW
01-01-1970 01:55:58 RAM 5595/7451MB (lfb 30x1MB) SWAP 15/3725MB (cached 0MB) CPU [21%@729,19%@729,13%@729,18%@729,19%@729,7%@729] EMC_FREQ 26%@2133 GR3D_FREQ 51%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.281C SOC2@53.906C SOC0@53.437C CV1@-256C GPU@55.156C tj@55.281C SOC1@53.75C CV2@-256C VDD_IN 8107mW/8160mW VDD_CPU_GPU_CV 2950mW/3009mW VDD_SOC 1916mW/1910mW
01-01-1970 01:55:59 RAM 5595/7451MB (lfb 30x1MB) SWAP 15/3725MB (cached 0MB) CPU [29%@960,12%@960,16%@960,16%@1036,9%@729,6%@729] EMC_FREQ 26%@2133 GR3D_FREQ 66%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.031C SOC2@53.937C SOC0@53.406C CV1@-256C GPU@54.875C tj@55.031C SOC1@53.968C CV2@-256C VDD_IN 8067mW/8157mW VDD_CPU_GPU_CV 2950mW/3007mW VDD_SOC 1916mW/1910mW
01-01-1970 01:56:00 RAM 5595/7451MB (lfb 30x1MB) SWAP 15/3725MB (cached 0MB) CPU [20%@729,19%@729,18%@729,22%@1217,7%@729,21%@729] EMC_FREQ 26%@2133 GR3D_FREQ 25%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.031C SOC2@53.937C SOC0@53.468C CV1@-256C GPU@55.312C tj@55.312C SOC1@53.906C CV2@-256C VDD_IN 8107mW/8155mW VDD_CPU_GPU_CV 2990mW/3006mW VDD_SOC 1916mW/1910mW
01-01-1970 01:56:01 RAM 5595/7451MB (lfb 30x1MB) SWAP 15/3725MB (cached 0MB) CPU [24%@729,15%@1510,10%@1510,11%@1510,21%@729,11%@729] EMC_FREQ 26%@2133 GR3D_FREQ 41%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.093C SOC2@54.031C SOC0@53.593C CV1@-256C GPU@55.062C tj@55.093C SOC1@53.843C CV2@-256C VDD_IN 8067mW/8152mW VDD_CPU_GPU_CV 2950mW/3005mW VDD_SOC 1916mW/1911mW
01-01-1970 01:56:02 RAM 5595/7451MB (lfb 30x1MB) SWAP 15/3725MB (cached 0MB) CPU [22%@806,11%@806,11%@806,10%@806,31%@1510,16%@1510] EMC_FREQ 26%@2133 GR3D_FREQ 27%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55C SOC2@54.031C SOC0@53.593C CV1@-256C GPU@55.093C tj@55.218C SOC1@53.781C CV2@-256C VDD_IN 8107mW/8151mW VDD_CPU_GPU_CV 2990mW/3004mW VDD_SOC 1876mW/1909mW
01-01-1970 01:56:03 RAM 5595/7451MB (lfb 30x1MB) SWAP 15/3725MB (cached 0MB) CPU [23%@729,10%@729,15%@729,15%@729,14%@729,12%@729] EMC_FREQ 26%@2133 GR3D_FREQ 99%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.937C SOC2@53.968C SOC0@53.625C CV1@-256C GPU@55.187C tj@55.093C SOC1@53.812C CV2@-256C VDD_IN 8107mW/8150mW VDD_CPU_GPU_CV 2990mW/3004mW VDD_SOC 1916mW/1910mW
01-01-1970 01:56:04 RAM 5595/7451MB (lfb 30x1MB) SWAP 15/3725MB (cached 0MB) CPU [22%@912,19%@729,13%@729,9%@729,12%@729,20%@729] EMC_FREQ 26%@2133 GR3D_FREQ 79%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.031C SOC2@53.937C SOC0@53.593C CV1@-256C GPU@54.968C tj@55.031C SOC1@53.75C CV2@-256C VDD_IN 8186mW/8151mW VDD_CPU_GPU_CV 3030mW/3004mW VDD_SOC 1916mW/1910mW
