01-01-1970 01:30:21 RAM 5330/7451MB (lfb 35x4MB) SWAP 2/3725MB (cached 0MB) CPU [16%@1510,8%@1510,42%@1510,21%@1510,9%@729,0%@729] EMC_FREQ 5%@2133 GR3D_FREQ 42%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.906C SOC2@51.312C SOC0@51.187C CV1@-256C GPU@52.093C tj@52.906C SOC1@51.781C CV2@-256C VDD_IN 5337mW/5550mW VDD_CPU_GPU_CV 1402mW/1863mW VDD_SOC 1444mW/1265mW
01-01-1970 01:30:22 RAM 5449/7451MB (lfb 8x4MB) SWAP 3/3725MB (cached 0MB) CPU [12%@1510,38%@1510,50%@1510,12%@1510,4%@729,1%@729] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.843C SOC2@51.25C SOC0@51.125C CV1@-256C GPU@51.812C tj@52.843C SOC1@51.843C CV2@-256C VDD_IN 5377mW/5543mW VDD_CPU_GPU_CV 1322mW/1841mW VDD_SOC 1484mW/1274mW
01-01-1970 01:30:23 RAM 5452/7451MB (lfb 7x4MB) SWAP 3/3725MB (cached 0MB) CPU [11%@1510,14%@1510,74%@1510,3%@1510,5%@1267,5%@1267] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.093C SOC2@51.281C SOC0@51.031C CV1@-256C GPU@51.75C tj@53.093C SOC1@51.75C CV2@-256C VDD_IN 5176mW/5528mW VDD_CPU_GPU_CV 1243mW/1817mW VDD_SOC 1444mW/1281mW
01-01-1970 01:30:24 RAM 5493/7451MB (lfb 4x4MB) SWAP 4/3725MB (cached 0MB) CPU [27%@806,15%@900,15%@1258,12%@806,15%@729,26%@806] EMC_FREQ 12%@2133 GR3D_FREQ 77%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.031C SOC2@51.437C SOC0@51.125C CV1@-256C GPU@52.093C tj@53.031C SOC1@51.812C CV2@-256C VDD_IN 7051mW/5587mW VDD_CPU_GPU_CV 2240mW/1833mW VDD_SOC 1802mW/1301mW
01-01-1970 01:30:25 RAM 5494/7451MB (lfb 4x4MB) SWAP 4/3725MB (cached 0MB) CPU [31%@883,20%@883,19%@883,21%@883,6%@729,4%@729] EMC_FREQ 19%@2133 GR3D_FREQ 82%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.968C SOC2@51.531C SOC0@51.312C CV1@-256C GPU@52.343C tj@52.968C SOC1@51.875C CV2@-256C VDD_IN 7400mW/5654mW VDD_CPU_GPU_CV 2396mW/1854mW VDD_SOC 1920mW/1324mW
01-01-1970 01:30:26 RAM 5494/7451MB (lfb 4x4MB) SWAP 4/3725MB (cached 0MB) CPU [31%@806,15%@806,19%@806,18%@729,6%@729,5%@729] EMC_FREQ 22%@2133 GR3D_FREQ 76%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.937C SOC2@51.531C SOC0@51.187C CV1@-256C GPU@52.375C tj@53.031C SOC1@51.937C CV2@-256C VDD_IN 7440mW/5718mW VDD_CPU_GPU_CV 2436mW/1874mW VDD_SOC 1880mW/1344mW
01-01-1970 01:30:27 RAM 5494/7451MB (lfb 4x4MB) SWAP 4/3725MB (cached 0MB) CPU [24%@729,18%@729,18%@729,14%@729,15%@729,14%@729] EMC_FREQ 23%@2133 GR3D_FREQ 45%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.031C SOC2@51.562C SOC0@51.187C CV1@-256C GPU@52.406C tj@53.031C SOC1@51.843C CV2@-256C VDD_IN 7520mW/5780mW VDD_CPU_GPU_CV 2476mW/1895mW VDD_SOC 1920mW/1364mW
01-01-1970 01:30:28 RAM 5494/7451MB (lfb 4x4MB) SWAP 4/3725MB (cached 0MB) CPU [24%@883,20%@883,25%@883,14%@883,23%@729,11%@729] EMC_FREQ 24%@2133 GR3D_FREQ 26%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.062C SOC2@51.562C SOC0@51.218C CV1@-256C GPU@52.468C tj@53.062C SOC1@51.937C CV2@-256C VDD_IN 7520mW/5838mW VDD_CPU_GPU_CV 2476mW/1915mW VDD_SOC 1920mW/1382mW
01-01-1970 01:30:30 RAM 5494/7451MB (lfb 4x4MB) SWAP 4/3725MB (cached 0MB) CPU [24%@729,20%@729,19%@729,22%@729,20%@729,7%@729] EMC_FREQ 24%@2133 GR3D_FREQ 59%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.031C SOC2@51.656C SOC0@51.343C CV1@-256C GPU@52.312C tj@53.031C SOC1@51.906C CV2@-256C VDD_IN 7600mW/5895mW VDD_CPU_GPU_CV 2515mW/1934mW VDD_SOC 1920mW/1400mW
01-01-1970 01:30:31 RAM 5494/7451MB (lfb 4x4MB) SWAP 4/3725MB (cached 0MB) CPU [24%@997,15%@899,18%@729,14%@729,15%@729,10%@729] EMC_FREQ 24%@2133 GR3D_FREQ 97%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.093C SOC2@51.593C SOC0@51.218C CV1@-256C GPU@52.562C tj@53.093C SOC1@51.875C CV2@-256C VDD_IN 7520mW/5945mW VDD_CPU_GPU_CV 2436mW/1950mW VDD_SOC 1920mW/1416mW
