01-01-1970 01:51:06 RAM 5592/7451MB (lfb 9x2MB) SWAP 15/3725MB (cached 0MB) CPU [22%@729,18%@729,15%@729,12%@729,15%@729,14%@729] EMC_FREQ 26%@2133 GR3D_FREQ 99%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.125C SOC2@52.781C SOC0@52.5C CV1@-256C GPU@53.812C tj@54.125C SOC1@52.812C CV2@-256C VDD_IN 8027mW/6331mW VDD_CPU_GPU_CV 2950mW/2178mW VDD_SOC 1876mW/1477mW
01-01-1970 01:51:07 RAM 5592/7451MB (lfb 9x2MB) SWAP 15/3725MB (cached 0MB) CPU [34%@820,11%@1263,10%@960,15%@883,11%@729,12%@729] EMC_FREQ 26%@2133 GR3D_FREQ 50%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.062C SOC2@52.718C SOC0@52.468C CV1@-256C GPU@53.718C tj@54.062C SOC1@52.875C CV2@-256C VDD_IN 7947mW/6373mW VDD_CPU_GPU_CV 2870mW/2196mW VDD_SOC 1876mW/1487mW
01-01-1970 01:51:08 RAM 5593/7451MB (lfb 9x2MB) SWAP 15/3725MB (cached 0MB) CPU [33%@729,17%@784,16%@970,19%@729,8%@729,7%@729] EMC_FREQ 26%@2133 GR3D_FREQ 98%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.281C SOC2@52.906C SOC0@52.437C CV1@-256C GPU@53.906C tj@54.281C SOC1@53.031C CV2@-256C VDD_IN 8107mW/6418mW VDD_CPU_GPU_CV 2990mW/2216mW VDD_SOC 1916mW/1498mW
01-01-1970 01:51:09 RAM 5594/7451MB (lfb 9x2MB) SWAP 15/3725MB (cached 0MB) CPU [24%@1510,18%@729,9%@729,17%@729,10%@729,8%@729] EMC_FREQ 26%@2133 GR3D_FREQ 40%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.187C SOC2@52.906C SOC0@52.468C CV1@-256C GPU@54.125C tj@54.187C SOC1@53.062C CV2@-256C VDD_IN 8067mW/6459mW VDD_CPU_GPU_CV 2950mW/2234mW VDD_SOC 1916mW/1509mW
01-01-1970 01:51:10 RAM 5594/7451MB (lfb 9x2MB) SWAP 15/3725MB (cached 0MB) CPU [30%@729,15%@729,18%@729,16%@729,20%@729,13%@729] EMC_FREQ 27%@2133 GR3D_FREQ 99%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.187C SOC2@52.968C SOC0@52.625C CV1@-256C GPU@54.218C tj@54.218C SOC1@53C CV2@-256C VDD_IN 8266mW/6503mW VDD_CPU_GPU_CV 3070mW/2255mW VDD_SOC 1916mW/1519mW
01-01-1970 01:51:11 RAM 5594/7451MB (lfb 9x2MB) SWAP 15/3725MB (cached 0MB) CPU [21%@729,12%@729,12%@729,11%@729,17%@729,20%@729] EMC_FREQ 26%@2133 GR3D_FREQ 98%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.25C SOC2@53.062C SOC0@52.656C CV1@-256C GPU@54.468C tj@54.468C SOC1@53C CV2@-256C VDD_IN 8146mW/6542mW VDD_CPU_GPU_CV 2990mW/2272mW VDD_SOC 1916mW/1528mW
01-01-1970 01:51:12 RAM 5594/7451MB (lfb 9x2MB) SWAP 15/3725MB (cached 0MB) CPU [19%@1028,12%@729,9%@729,9%@729,17%@729,21%@729] EMC_FREQ 26%@2133 GR3D_FREQ 99%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.125C SOC2@53C SOC0@52.562C CV1@-256C GPU@54.375C tj@54.375C SOC1@53.031C CV2@-256C VDD_IN 8146mW/6579mW VDD_CPU_GPU_CV 2990mW/2289mW VDD_SOC 1916mW/1537mW
01-01-1970 01:51:13 RAM 5594/7451MB (lfb 9x2MB) SWAP 15/3725MB (cached 0MB) CPU [23%@1210,14%@729,14%@729,9%@729,15%@729,24%@729] EMC_FREQ 26%@2133 GR3D_FREQ 99%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54C SOC2@52.937C SOC0@52.593C CV1@-256C GPU@54.156C tj@54.156C SOC1@53C CV2@-256C VDD_IN 8186mW/6616mW VDD_CPU_GPU_CV 3030mW/2306mW VDD_SOC 1916mW/1546mW
01-01-1970 01:51:14 RAM 5594/7451MB (lfb 9x2MB) SWAP 15/3725MB (cached 0MB) CPU [29%@1510,18%@1184,15%@729,14%@729,4%@729,11%@729] EMC_FREQ 26%@2133 GR3D_FREQ 99%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.406C SOC2@52.968C SOC0@52.625C CV1@-256C GPU@54.187C tj@54.25C SOC1@52.968C CV2@-256C VDD_IN 8146mW/6650mW VDD_CPU_GPU_CV 2990mW/2321mW VDD_SOC 1916mW/1554mW
01-01-1970 01:51:15 RAM 5594/7451MB (lfb 9x2MB) SWAP 15/3725MB (cached 0MB) CPU [32%@729,12%@729,13%@729,10%@1011,16%@729,15%@729] EMC_FREQ 26%@2133 GR3D_FREQ 99%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.125C SOC2@53.093C SOC0@52.781C CV1@-256C GPU@54.125C tj@54.312C SOC1@53.062C CV2@-256C VDD_IN 8186mW/6683mW VDD_CPU_GPU_CV 3030mW/2336mW VDD_SOC 1916mW/1562mW
