01-01-1970 01:21:18 RAM 3600/7451MB (lfb 66x4MB) SWAP 394/3725MB (cached 1MB) CPU [21%@1510,53%@1510,5%@1510,17%@1510,11%@729,5%@729] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.437C SOC2@49.468C SOC0@49.281C CV1@-256C GPU@50.062C tj@51.437C SOC1@50.187C CV2@-256C VDD_IN 4975mW/5146mW VDD_CPU_GPU_CV 1123mW/1671mW VDD_SOC 1364mW/1164mW
01-01-1970 01:21:19 RAM 3851/7451MB (lfb 32x4MB) SWAP 394/3725MB (cached 1MB) CPU [14%@1510,0%@1510,54%@1510,40%@1510,6%@729,8%@729] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.312C SOC2@49.468C SOC0@49.156C CV1@-256C GPU@50.156C tj@51.312C SOC1@50.156C CV2@-256C VDD_IN 5136mW/5145mW VDD_CPU_GPU_CV 1121mW/1647mW VDD_SOC 1484mW/1178mW
01-01-1970 01:21:20 RAM 4213/7451MB (lfb 146x1MB) SWAP 394/3725MB (cached 1MB) CPU [22%@729,17%@729,30%@729,29%@729,4%@1510,17%@1510] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.375C SOC2@49.375C SOC0@49.187C CV1@-256C GPU@49.906C tj@51.375C SOC1@50.406C CV2@-256C VDD_IN 5096mW/5143mW VDD_CPU_GPU_CV 1081mW/1623mW VDD_SOC 1484mW/1191mW
01-01-1970 01:21:21 RAM 4473/7451MB (lfb 136x1MB) SWAP 394/3725MB (cached 1MB) CPU [22%@1008,9%@729,19%@729,18%@729,8%@1510,24%@1510] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[611,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.25C SOC2@49.375C SOC0@49.375C CV1@-256C GPU@49.937C tj@51.25C SOC1@50.281C CV2@-256C VDD_IN 5296mW/5149mW VDD_CPU_GPU_CV 1241mW/1608mW VDD_SOC 1484mW/1202mW
01-01-1970 01:21:22 RAM 4762/7451MB (lfb 80x1MB) SWAP 394/3725MB (cached 1MB) CPU [28%@1510,14%@1510,21%@1510,36%@1510,1%@729,5%@729] EMC_FREQ 5%@2133 GR3D_FREQ 22%@[611,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.625C SOC2@49.468C SOC0@49.281C CV1@-256C GPU@50.25C tj@51.625C SOC1@50.187C CV2@-256C VDD_IN 5377mW/5158mW VDD_CPU_GPU_CV 1322mW/1597mW VDD_SOC 1484mW/1213mW
01-01-1970 01:21:23 RAM 4911/7451MB (lfb 1x2MB) SWAP 394/3725MB (cached 1MB) CPU [20%@1510,7%@1510,31%@1510,67%@1510,5%@729,9%@729] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[611,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.468C SOC2@49.468C SOC0@49.375C CV1@-256C GPU@50.187C tj@51.468C SOC1@50.312C CV2@-256C VDD_IN 5577mW/5173mW VDD_CPU_GPU_CV 1482mW/1592mW VDD_SOC 1484mW/1223mW
01-01-1970 01:21:24 RAM 4961/7451MB (lfb 1x2MB) SWAP 394/3725MB (cached 1MB) CPU [29%@806,18%@806,14%@806,29%@729,21%@729,18%@729] EMC_FREQ 11%@2133 GR3D_FREQ 74%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.468C SOC2@49.718C SOC0@49.281C CV1@-256C GPU@50.218C tj@51.562C SOC1@50.312C CV2@-256C VDD_IN 6610mW/5225mW VDD_CPU_GPU_CV 1960mW/1606mW VDD_SOC 1762mW/1242mW
01-01-1970 01:21:25 RAM 4963/7451MB (lfb 1x2MB) SWAP 394/3725MB (cached 1MB) CPU [34%@806,19%@806,23%@806,16%@985,15%@729,15%@729] EMC_FREQ 16%@2133 GR3D_FREQ 81%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.562C SOC2@49.718C SOC0@49.343C CV1@-256C GPU@50.562C tj@51.562C SOC1@50.281C CV2@-256C VDD_IN 6880mW/5282mW VDD_CPU_GPU_CV 2080mW/1622mW VDD_SOC 1800mW/1262mW
01-01-1970 01:21:26 RAM 4963/7451MB (lfb 1x2MB) SWAP 394/3725MB (cached 1MB) CPU [31%@1461,14%@729,13%@729,9%@991,25%@729,35%@729] EMC_FREQ 17%@2133 GR3D_FREQ 71%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.75C SOC2@49.75C SOC0@49.406C CV1@-256C GPU@50.25C tj@51.75C SOC1@50.281C CV2@-256C VDD_IN 6810mW/5333mW VDD_CPU_GPU_CV 2040mW/1636mW VDD_SOC 1802mW/1280mW
01-01-1970 01:21:27 RAM 4963/7451MB (lfb 1x2MB) SWAP 394/3725MB (cached 1MB) CPU [36%@883,19%@883,15%@883,22%@883,27%@729,22%@729] EMC_FREQ 18%@2133 GR3D_FREQ 57%@[622,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.625C SOC2@49.75C SOC0@49.5C CV1@-256C GPU@50.781C tj@51.625C SOC1@50.375C CV2@-256C VDD_IN 6840mW/5381mW VDD_CPU_GPU_CV 2080mW/1650mW VDD_SOC 1800mW/1296mW
