01-01-1970 01:33:18 RAM 5069/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [30%@1507,13%@1158,28%@729,9%@729,25%@883,28%@729] EMC_FREQ 21%@2133 GR3D_FREQ 31%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.593C SOC2@52C SOC0@51.687C CV1@-256C GPU@52.718C tj@53.593C SOC1@52.312C CV2@-256C VDD_IN 7240mW/6071mW VDD_CPU_GPU_CV 2356mW/2190mW VDD_SOC 1880mW/1375mW
01-01-1970 01:33:19 RAM 5069/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [32%@1504,13%@729,18%@729,11%@729,22%@729,30%@729] EMC_FREQ 21%@2133 GR3D_FREQ 45%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.718C SOC2@52.062C SOC0@51.75C CV1@-256C GPU@53.125C tj@53.718C SOC1@52.281C CV2@-256C VDD_IN 7320mW/6126mW VDD_CPU_GPU_CV 2356mW/2197mW VDD_SOC 1880mW/1397mW
01-01-1970 01:33:20 RAM 5069/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [28%@1113,23%@960,20%@960,19%@960,18%@729,17%@729] EMC_FREQ 22%@2133 GR3D_FREQ 34%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.625C SOC2@51.968C SOC0@51.75C CV1@-256C GPU@52.718C tj@53.625C SOC1@52.312C CV2@-256C VDD_IN 7240mW/6172mW VDD_CPU_GPU_CV 2316mW/2202mW VDD_SOC 1880mW/1417mW
01-01-1970 01:33:21 RAM 5069/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [36%@806,15%@806,13%@806,11%@729,22%@729,15%@729] EMC_FREQ 21%@2133 GR3D_FREQ 23%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.593C SOC2@52.156C SOC0@51.687C CV1@-256C GPU@53.093C tj@53.468C SOC1@52.281C CV2@-256C VDD_IN 7200mW/6213mW VDD_CPU_GPU_CV 2316mW/2207mW VDD_SOC 1880mW/1436mW
01-01-1970 01:33:22 RAM 5071/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [29%@1510,19%@1510,19%@1510,12%@883,24%@729,23%@729] EMC_FREQ 21%@2133 GR3D_FREQ 55%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.687C SOC2@52.187C SOC0@51.812C CV1@-256C GPU@52.875C tj@53.687C SOC1@52.312C CV2@-256C VDD_IN 7360mW/6257mW VDD_CPU_GPU_CV 2396mW/2214mW VDD_SOC 1880mW/1453mW
01-01-1970 01:33:23 RAM 5071/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [37%@1497,10%@1497,23%@1510,27%@1510,24%@729,22%@729] EMC_FREQ 21%@2133 GR3D_FREQ 33%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.75C SOC2@52.218C SOC0@51.687C CV1@-256C GPU@53.375C tj@53.75C SOC1@52.312C CV2@-256C VDD_IN 7440mW/6301mW VDD_CPU_GPU_CV 2476mW/2224mW VDD_SOC 1880mW/1469mW
01-01-1970 01:33:24 RAM 5071/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [37%@1036,23%@1113,22%@1113,15%@1113,16%@729,18%@729] EMC_FREQ 22%@2133 GR3D_FREQ 61%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.687C SOC2@52.187C SOC0@51.843C CV1@-256C GPU@52.968C tj@53.687C SOC1@52.281C CV2@-256C VDD_IN 7360mW/6339mW VDD_CPU_GPU_CV 2356mW/2228mW VDD_SOC 1880mW/1483mW
01-01-1970 01:33:25 RAM 5071/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [31%@729,17%@729,16%@729,17%@954,20%@806,17%@806] EMC_FREQ 22%@2133 GR3D_FREQ 68%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.593C SOC2@52.25C SOC0@51.75C CV1@-256C GPU@53.312C tj@53.593C SOC1@52.406C CV2@-256C VDD_IN 7400mW/6375mW VDD_CPU_GPU_CV 2396mW/2234mW VDD_SOC 1880mW/1497mW
01-01-1970 01:33:26 RAM 5071/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [29%@729,17%@1510,21%@1510,18%@1510,23%@729,23%@729] EMC_FREQ 22%@2133 GR3D_FREQ 37%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.781C SOC2@52.187C SOC0@51.875C CV1@-256C GPU@53.156C tj@53.781C SOC1@52.343C CV2@-256C VDD_IN 7280mW/6406mW VDD_CPU_GPU_CV 2356mW/2238mW VDD_SOC 1880mW/1510mW
01-01-1970 01:33:27 RAM 5071/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [31%@883,18%@883,19%@883,20%@883,30%@729,14%@729] EMC_FREQ 21%@2133 GR3D_FREQ 53%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.625C SOC2@52.25C SOC0@51.843C CV1@-256C GPU@53.406C tj@53.625C SOC1@52.312C CV2@-256C VDD_IN 7440mW/6439mW VDD_CPU_GPU_CV 2436mW/2244mW VDD_SOC 1920mW/1523mW
01-01-1970 01:33:28 RAM 5071/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [32%@1047,15%@806,18%@806,17%@806,25%@729,22%@729] EMC_FREQ 22%@2133 GR3D_FREQ 99%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.625C SOC2@52.187C SOC0@51.812C CV1@-256C GPU@53.093C tj@53.812C SOC1@52.343C CV2@-256C VDD_IN 7360mW/6468mW VDD_CPU_GPU_CV 2356mW/2248mW VDD_SOC 1880mW/1534mW
01-01-1970 01:33:29 RAM 5071/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [32%@1510,15%@806,15%@806,24%@806,22%@960,24%@1113] EMC_FREQ 21%@2133 GR3D_FREQ 37%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.781C SOC2@52.312C SOC0@51.75C CV1@-256C GPU@53.156C tj@53.781C SOC1@52.375C CV2@-256C VDD_IN 7200mW/6490mW VDD_CPU_GPU_CV 2316mW/2250mW VDD_SOC 1880mW/1545mW
01-01-1970 01:33:30 RAM 5071/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [31%@1510,17%@1505,18%@960,14%@960,20%@729,22%@729] EMC_FREQ 22%@2133 GR3D_FREQ 68%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.656C SOC2@52.312C SOC0@51.75C CV1@-256C GPU@53.156C tj@53.656C SOC1@52.406C CV2@-256C VDD_IN 7400mW/6517mW VDD_CPU_GPU_CV 2396mW/2254mW VDD_SOC 1920mW/1556mW
01-01-1970 01:33:31 RAM 5071/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [37%@1420,14%@1344,12%@1344,19%@1344,18%@729,32%@729] EMC_FREQ 22%@2133 GR3D_FREQ 83%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.718C SOC2@52.312C SOC0@51.875C CV1@-256C GPU@53.25C tj@53.718C SOC1@52.437C CV2@-256C VDD_IN 7520mW/6545mW VDD_CPU_GPU_CV 2476mW/2261mW VDD_SOC 1880mW/1565mW
01-01-1970 01:33:32 RAM 5071/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [31%@729,17%@729,23%@729,16%@806,20%@729,28%@729] EMC_FREQ 22%@2133 GR3D_FREQ 26%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.687C SOC2@52.281C SOC0@51.937C CV1@-256C GPU@53C tj@53.687C SOC1@52.437C CV2@-256C VDD_IN 7320mW/6567mW VDD_CPU_GPU_CV 2356mW/2263mW VDD_SOC 1880mW/1574mW
01-01-1970 01:33:33 RAM 5071/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [30%@960,11%@1370,14%@1325,10%@1190,30%@729,30%@729] EMC_FREQ 22%@2133 GR3D_FREQ 33%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.718C SOC2@52.343C SOC0@51.843C CV1@-256C GPU@53.093C tj@53.718C SOC1@52.468C CV2@-256C VDD_IN 7280mW/6586mW VDD_CPU_GPU_CV 2356mW/2266mW VDD_SOC 1880mW/1582mW
01-01-1970 01:33:34 RAM 5071/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [28%@806,13%@806,16%@1036,15%@1036,28%@729,26%@729] EMC_FREQ 22%@2133 GR3D_FREQ 48%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.812C SOC2@52.312C SOC0@51.968C CV1@-256C GPU@52.937C tj@53.812C SOC1@52.5C CV2@-256C VDD_IN 7240mW/6603mW VDD_CPU_GPU_CV 2316mW/2267mW VDD_SOC 1880mW/1590mW
01-01-1970 01:33:35 RAM 5071/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [32%@729,17%@729,13%@729,13%@729,25%@729,20%@729] EMC_FREQ 21%@2133 GR3D_FREQ 73%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.718C SOC2@52.25C SOC0@51.906C CV1@-256C GPU@53.031C tj@53.718C SOC1@52.437C CV2@-256C VDD_IN 7120mW/6616mW VDD_CPU_GPU_CV 2236mW/2266mW VDD_SOC 1840mW/1596mW
01-01-1970 01:33:36 RAM 5071/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [28%@729,21%@729,19%@729,18%@806,15%@729,20%@729] EMC_FREQ 20%@2133 GR3D_FREQ 31%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.625C SOC2@52.312C SOC0@51.906C CV1@-256C GPU@53.312C tj@53.625C SOC1@52.468C CV2@-256C VDD_IN 7000mW/6626mW VDD_CPU_GPU_CV 2156mW/2263mW VDD_SOC 1840mW/1602mW
01-01-1970 01:33:37 RAM 5071/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [34%@729,18%@729,27%@729,18%@729,26%@729,20%@729] EMC_FREQ 21%@2133 GR3D_FREQ 58%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.625C SOC2@52.312C SOC0@52.093C CV1@-256C GPU@53.125C tj@53.625C SOC1@52.625C CV2@-256C VDD_IN 7240mW/6641mW VDD_CPU_GPU_CV 2356mW/2266mW VDD_SOC 1880mW/1609mW
01-01-1970 01:33:38 RAM 5071/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [34%@729,16%@729,18%@729,16%@729,23%@729,17%@729] EMC_FREQ 21%@2133 GR3D_FREQ 58%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.906C SOC2@52.218C SOC0@52.125C CV1@-256C GPU@53.343C tj@53.906C SOC1@52.625C CV2@-256C VDD_IN 7040mW/6650mW VDD_CPU_GPU_CV 2196mW/2264mW VDD_SOC 1840mW/1614mW
01-01-1970 01:33:39 RAM 5071/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [38%@1420,15%@1510,21%@1510,16%@1510,16%@729,13%@729] EMC_FREQ 21%@2133 GR3D_FREQ 75%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.718C SOC2@52.312C SOC0@52.031C CV1@-256C GPU@53.125C tj@53.718C SOC1@52.625C CV2@-256C VDD_IN 7280mW/6665mW VDD_CPU_GPU_CV 2356mW/2266mW VDD_SOC 1880mW/1621mW
01-01-1970 01:33:40 RAM 5071/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [35%@1063,25%@806,19%@806,19%@806,10%@729,12%@729] EMC_FREQ 22%@2133 GR3D_FREQ 80%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.906C SOC2@52.343C SOC0@52C CV1@-256C GPU@53.562C tj@53.906C SOC1@52.562C CV2@-256C VDD_IN 7520mW/6685mW VDD_CPU_GPU_CV 2476mW/2271mW VDD_SOC 1920mW/1627mW
01-01-1970 01:33:41 RAM 5071/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [31%@986,25%@806,17%@806,21%@806,16%@729,20%@729] EMC_FREQ 22%@2133 GR3D_FREQ 98%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.718C SOC2@52.312C SOC0@52.125C CV1@-256C GPU@53.281C tj@53.718C SOC1@52.625C CV2@-256C VDD_IN 7360mW/6700mW VDD_CPU_GPU_CV 2356mW/2273mW VDD_SOC 1880mW/1633mW
01-01-1970 01:33:42 RAM 5071/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [36%@1092,17%@729,14%@729,16%@729,23%@729,27%@729] EMC_FREQ 21%@2133 GR3D_FREQ 75%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54C SOC2@52.343C SOC0@52.093C CV1@-256C GPU@52.968C tj@54C SOC1@52.562C CV2@-256C VDD_IN 7160mW/6710mW VDD_CPU_GPU_CV 2276mW/2273mW VDD_SOC 1840mW/1638mW
01-01-1970 01:33:43 RAM 5071/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [33%@1190,13%@729,17%@729,17%@758,22%@729,20%@729] EMC_FREQ 21%@2133 GR3D_FREQ 37%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.656C SOC2@52.281C SOC0@52.156C CV1@-256C GPU@53.156C tj@53.656C SOC1@52.625C CV2@-256C VDD_IN 7200mW/6720mW VDD_CPU_GPU_CV 2276mW/2273mW VDD_SOC 1840mW/1642mW
