01-01-1970 01:47:11 RAM 5099/7451MB (lfb 2x2MB) SWAP 385/3725MB (cached 1MB) CPU [30%@729,21%@729,13%@1510,11%@729,16%@960,22%@960] EMC_FREQ 23%@2133 GR3D_FREQ 87%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.218C SOC2@49.437C SOC0@48.812C CV1@-256C GPU@50.843C tj@51.156C SOC1@49.812C CV2@-256C VDD_IN 8306mW/5813mW VDD_CPU_GPU_CV 3110mW/2016mW VDD_SOC 1996mW/1354mW
01-01-1970 01:47:12 RAM 5099/7451MB (lfb 2x2MB) SWAP 385/3725MB (cached 1MB) CPU [29%@997,10%@806,14%@729,10%@729,31%@729,22%@729] EMC_FREQ 25%@2133 GR3D_FREQ 95%@[623,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.468C SOC2@49.437C SOC0@49.031C CV1@-256C GPU@50.718C tj@51.468C SOC1@49.906C CV2@-256C VDD_IN 8226mW/5918mW VDD_CPU_GPU_CV 3070mW/2062mW VDD_SOC 1996mW/1382mW
01-01-1970 01:47:13 RAM 5100/7451MB (lfb 2x2MB) SWAP 385/3725MB (cached 1MB) CPU [28%@729,13%@729,12%@729,11%@729,21%@729,22%@729] EMC_FREQ 25%@2133 GR3D_FREQ 82%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.375C SOC2@49.531C SOC0@49C CV1@-256C GPU@50.312C tj@51.375C SOC1@50C CV2@-256C VDD_IN 7907mW/6001mW VDD_CPU_GPU_CV 2830mW/2094mW VDD_SOC 1916mW/1404mW
01-01-1970 01:47:14 RAM 5101/7451MB (lfb 2x2MB) SWAP 385/3725MB (cached 1MB) CPU [38%@1128,17%@806,11%@806,11%@883,16%@729,15%@729] EMC_FREQ 24%@2133 GR3D_FREQ 46%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.312C SOC2@49.5C SOC0@49.281C CV1@-256C GPU@50.531C tj@51.312C SOC1@50.062C CV2@-256C VDD_IN 7867mW/6075mW VDD_CPU_GPU_CV 2830mW/2123mW VDD_SOC 1916mW/1424mW
01-01-1970 01:47:15 RAM 5101/7451MB (lfb 2x2MB) SWAP 385/3725MB (cached 1MB) CPU [27%@1113,19%@1510,15%@1267,12%@1267,17%@729,14%@729] EMC_FREQ 24%@2133 GR3D_FREQ 57%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.406C SOC2@49.656C SOC0@49.156C CV1@-256C GPU@51.218C tj@51.406C SOC1@50C CV2@-256C VDD_IN 7987mW/6149mW VDD_CPU_GPU_CV 2910mW/2154mW VDD_SOC 1956mW/1445mW
01-01-1970 01:47:16 RAM 5101/7451MB (lfb 2x2MB) SWAP 385/3725MB (cached 1MB) CPU [27%@729,20%@729,9%@1510,11%@1510,23%@729,24%@729] EMC_FREQ 24%@2133 GR3D_FREQ 74%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.406C SOC2@49.562C SOC0@49.406C CV1@-256C GPU@50.593C tj@51.406C SOC1@50.156C CV2@-256C VDD_IN 7907mW/6214mW VDD_CPU_GPU_CV 2830mW/2179mW VDD_SOC 1916mW/1462mW
01-01-1970 01:47:17 RAM 5101/7451MB (lfb 2x2MB) SWAP 385/3725MB (cached 1MB) CPU [29%@1095,10%@1510,11%@806,10%@883,22%@1510,17%@1510] EMC_FREQ 24%@2133 GR3D_FREQ 59%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.468C SOC2@49.687C SOC0@49.312C CV1@-256C GPU@51C tj@51.468C SOC1@50.125C CV2@-256C VDD_IN 7827mW/6272mW VDD_CPU_GPU_CV 2791mW/2201mW VDD_SOC 1916mW/1479mW
01-01-1970 01:47:18 RAM 5101/7451MB (lfb 2x2MB) SWAP 385/3725MB (cached 1MB) CPU [39%@1190,12%@1190,17%@1267,13%@1267,7%@729,10%@729] EMC_FREQ 25%@2133 GR3D_FREQ 51%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.406C SOC2@49.781C SOC0@49.468C CV1@-256C GPU@51.218C tj@51.406C SOC1@50.312C CV2@-256C VDD_IN 8146mW/6336mW VDD_CPU_GPU_CV 3030mW/2229mW VDD_SOC 1956mW/1495mW
01-01-1970 01:47:19 RAM 5102/7451MB (lfb 2x2MB) SWAP 385/3725MB (cached 1MB) CPU [29%@869,15%@729,15%@883,14%@883,18%@729,11%@729] EMC_FREQ 25%@2133 GR3D_FREQ 50%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.562C SOC2@49.875C SOC0@49.437C CV1@-256C GPU@50.937C tj@51.562C SOC1@50.187C CV2@-256C VDD_IN 8027mW/6393mW VDD_CPU_GPU_CV 2910mW/2252mW VDD_SOC 1956mW/1510mW
01-01-1970 01:47:20 RAM 5102/7451MB (lfb 2x2MB) SWAP 385/3725MB (cached 1MB) CPU [30%@729,19%@1510,29%@806,19%@806,13%@729,7%@810] EMC_FREQ 25%@2133 GR3D_FREQ 43%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.625C SOC2@49.875C SOC0@49.531C CV1@-256C GPU@50.718C tj@51.625C SOC1@50.281C CV2@-256C VDD_IN 8027mW/6445mW VDD_CPU_GPU_CV 2870mW/2272mW VDD_SOC 1956mW/1525mW
