05-28-2024 13:24:02 RAM 4303/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [35%@1510,19%@1220,26%@1264,22%@1113,14%@729,14%@729] EMC_FREQ 28%@2133 GR3D_FREQ 97%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.312C SOC2@54.218C SOC0@53.812C CV1@-256C GPU@55.281C tj@55.312C SOC1@54.031C CV2@-256C VDD_IN 7947mW/7332mW VDD_CPU_GPU_CV 2751mW/2789mW VDD_SOC 1916mW/1637mW
05-28-2024 13:24:03 RAM 4303/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [32%@960,20%@960,31%@960,19%@960,17%@729,24%@729] EMC_FREQ 28%@2133 GR3D_FREQ 70%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.5C SOC2@54.281C SOC0@53.875C CV1@-256C GPU@55.406C tj@55.5C SOC1@54.062C CV2@-256C VDD_IN 8146mW/7368mW VDD_CPU_GPU_CV 2870mW/2792mW VDD_SOC 1956mW/1651mW
05-28-2024 13:24:04 RAM 4303/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [28%@960,25%@960,19%@960,17%@806,25%@729,20%@729] EMC_FREQ 27%@2133 GR3D_FREQ 69%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.375C SOC2@54.187C SOC0@53.906C CV1@-256C GPU@55.156C tj@55.375C SOC1@54.125C CV2@-256C VDD_IN 7947mW/7392mW VDD_CPU_GPU_CV 2711mW/2789mW VDD_SOC 1916mW/1662mW
05-28-2024 13:24:05 RAM 4303/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [31%@883,23%@883,15%@883,19%@883,23%@729,13%@729] EMC_FREQ 28%@2133 GR3D_FREQ 68%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.562C SOC2@54.218C SOC0@53.937C CV1@-256C GPU@55.25C tj@55.562C SOC1@54.062C CV2@-256C VDD_IN 7907mW/7413mW VDD_CPU_GPU_CV 2711mW/2786mW VDD_SOC 1916mW/1672mW
05-28-2024 13:24:06 RAM 4303/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [28%@1190,29%@1190,26%@1190,18%@1267,13%@729,13%@729] EMC_FREQ 28%@2133 GR3D_FREQ 49%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.5C SOC2@54.187C SOC0@53.968C CV1@-256C GPU@55.093C tj@55.5C SOC1@54.062C CV2@-256C VDD_IN 7867mW/7430mW VDD_CPU_GPU_CV 2711mW/2783mW VDD_SOC 1916mW/1682mW
05-28-2024 13:24:07 RAM 4303/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [31%@1508,21%@960,24%@806,21%@806,16%@806,13%@1113] EMC_FREQ 28%@2133 GR3D_FREQ 98%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.687C SOC2@54.312C SOC0@53.937C CV1@-256C GPU@55.312C tj@55.687C SOC1@54.125C CV2@-256C VDD_IN 8107mW/7455mW VDD_CPU_GPU_CV 2830mW/2784mW VDD_SOC 1956mW/1692mW
05-28-2024 13:24:08 RAM 4303/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [33%@1113,20%@1036,25%@1036,23%@1036,29%@1510,21%@1510] EMC_FREQ 28%@2133 GR3D_FREQ 88%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.406C SOC2@54.25C SOC0@54.031C CV1@-256C GPU@55.343C tj@55.406C SOC1@54.187C CV2@-256C VDD_IN 8107mW/7478mW VDD_CPU_GPU_CV 2830mW/2786mW VDD_SOC 1956mW/1701mW
05-28-2024 13:24:09 RAM 4303/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [34%@1510,26%@1510,21%@1510,16%@1510,13%@729,8%@729] EMC_FREQ 28%@2133 GR3D_FREQ 73%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.781C SOC2@54.343C SOC0@54.031C CV1@-256C GPU@55.218C tj@55.781C SOC1@54.187C CV2@-256C VDD_IN 8107mW/7500mW VDD_CPU_GPU_CV 2870mW/2789mW VDD_SOC 1916mW/1709mW
05-28-2024 13:24:10 RAM 4303/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [32%@1510,32%@1510,22%@1510,15%@1510,14%@729,19%@729] EMC_FREQ 28%@2133 GR3D_FREQ 74%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.718C SOC2@54.343C SOC0@54.031C CV1@-256C GPU@55.593C tj@55.718C SOC1@54.093C CV2@-256C VDD_IN 8067mW/7519mW VDD_CPU_GPU_CV 2830mW/2790mW VDD_SOC 1956mW/1717mW
05-28-2024 13:24:11 RAM 4303/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [27%@1036,16%@1036,18%@1036,16%@1036,20%@729,16%@729] EMC_FREQ 28%@2133 GR3D_FREQ 99%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.812C SOC2@54.343C SOC0@54.031C CV1@-256C GPU@55.343C tj@55.812C SOC1@54.187C CV2@-256C VDD_IN 8067mW/7537mW VDD_CPU_GPU_CV 2791mW/2790mW VDD_SOC 1956mW/1725mW
05-28-2024 13:24:12 RAM 4303/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [28%@1344,24%@1344,27%@1344,16%@1360,14%@729,12%@729] EMC_FREQ 28%@2133 GR3D_FREQ 35%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.625C SOC2@54.406C SOC0@54.062C CV1@-256C GPU@55.468C tj@55.625C SOC1@54.156C CV2@-256C VDD_IN 7987mW/7551mW VDD_CPU_GPU_CV 2751mW/2789mW VDD_SOC 1916mW/1731mW
05-28-2024 13:24:13 RAM 4303/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [34%@1036,29%@1036,17%@1036,18%@1036,19%@729,16%@729] EMC_FREQ 28%@2133 GR3D_FREQ 98%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.562C SOC2@54.468C SOC0@54.062C CV1@-256C GPU@55.375C tj@55.562C SOC1@54.25C CV2@-256C VDD_IN 8027mW/7565mW VDD_CPU_GPU_CV 2791mW/2789mW VDD_SOC 1956mW/1737mW
